,feat,feattype,map_estimate,is_sturdy,Feature Type,symbol
9236,441234,gene,0.0,True,Gene,ZNF716
9237,441250,gene,0.0,True,Gene,TYW1B
9238,441272,gene,0.0,True,Gene,SPDYE3
9239,441273,gene,0.0,True,Gene,SPDYE2
9240,441282,gene,0.0,True,Gene,AKR1B15
9241,441294,gene,0.0,True,Gene,CTAGE15
9242,441317,gene,0.0,True,Gene,FAM90A7
9243,441323,gene,0.0,True,Gene,FAM90A16
9244,441324,gene,0.0,True,Gene,FAM90A8
9245,441326,gene,0.0,True,Gene,FAM90A18
9246,441327,gene,0.0,True,Gene,FAM90A9
9247,441328,gene,0.0,True,Gene,FAM90A10
9248,441376,gene,0.0,True,Gene,AARD
9249,441381,gene,0.0,True,Gene,LRRC24
9250,441452,gene,0.0,True,Gene,SPATA31C1
9251,441457,gene,0.0,True,Gene,NUTM2G
9252,441459,gene,0.0,True,Gene,ANKRD18B
9253,441476,gene,0.0,True,Gene,STPG3
9254,441478,gene,0.0,True,Gene,NRARP
9255,441495,gene,0.0,True,Gene,CENPVL2
9256,441518,gene,0.0,True,Gene,RTL8B
9257,441519,gene,0.0,True,Gene,CT45A3
9258,441521,gene,0.0,True,Gene,CT45A5
9259,441525,gene,0.0,True,Gene,SPANXN4
9260,441531,gene,0.0,True,Gene,PGAM4
9261,441549,gene,0.0,True,Gene,CDNF
9262,441581,gene,0.0,True,Gene,FRG2B
9263,441631,gene,0.0,True,Gene,TSPAN11
9264,441864,gene,0.0,True,Gene,TARM1
9265,441869,gene,0.0,True,Gene,ANKRD65
9266,441871,gene,0.0,True,Gene,PRAMEF7
9267,441873,gene,0.0,True,Gene,PRAMEF25
9268,441925,gene,0.0,True,Gene,BECN2
9269,442038,gene,0.0,True,Gene,SULT1C3
9270,442117,gene,0.0,True,Gene,GALNTL6
9271,442213,gene,0.0,True,Gene,PTCHD4
9272,442247,gene,0.0,True,Gene,RFPL4B
9273,442319,gene,0.0,True,Gene,ZNF727
9274,442425,gene,0.0,True,Gene,FOXB2
9275,442444,gene,0.0,True,Gene,FAM47C
9276,442572,gene,0.0,True,Gene,SPDYE21
9277,442590,gene,0.0,True,Gene,SPDYE5
9278,442721,gene,0.0,True,Gene,LMOD2
9279,442867,gene,0.0,True,Gene,BPY2B
9280,442868,gene,0.0,True,Gene,BPY2C
9281,443,gene,0.0,True,Gene,ASPA
9282,4430,gene,0.0,True,Gene,MYO1B
9283,4435,gene,0.0,True,Gene,CITED1
9284,4436,gene,0.0,True,Gene,MSH2
9285,4437,gene,0.0,True,Gene,MSH3
9286,4438,gene,0.0,True,Gene,MSH4
9287,4439,gene,0.0,True,Gene,MSH5
9288,444,gene,0.0,True,Gene,ASPH
9289,4440,gene,0.0,True,Gene,MSI1
9290,444882,gene,0.0,True,Gene,IGFL4
9291,445,gene,0.0,True,Gene,ASS1
9292,445328,gene,0.0,True,Gene,ARHGEF35
9293,445329,gene,0.0,True,Gene,SULT1A4
9294,445372,gene,0.0,True,Gene,TRIM6-TRIM34
9295,445571,gene,0.0,True,Gene,ZNG1C
9296,445582,gene,0.0,True,Gene,POTEE
9297,445815,gene,0.0,True,Gene,PALM2AKAP2
9298,4477,gene,0.0,True,Gene,MSMB
9299,4478,gene,0.0,True,Gene,MSN
9300,4481,gene,0.0,True,Gene,MSR1
9301,4482,gene,0.0,True,Gene,MSRA
9302,4485,gene,0.0,True,Gene,MST1
9303,4486,gene,0.0,True,Gene,MST1R
9304,4487,gene,0.0,True,Gene,MSX1
9305,4488,gene,0.0,True,Gene,MSX2
9306,448835,gene,0.0,True,Gene,LCE6A
9307,4489,gene,0.0,True,Gene,MT1A
9308,4493,gene,0.0,True,Gene,MT1E
9309,4494,gene,0.0,True,Gene,MT1F
9310,4495,gene,0.0,True,Gene,MT1G
9311,4496,gene,0.0,True,Gene,MT1H
9312,4499,gene,0.0,True,Gene,MT1M
9313,4501,gene,0.0,True,Gene,MT1X
9314,4502,gene,0.0,True,Gene,MT2A
9315,4504,gene,0.0,True,Gene,MT3
9316,4507,gene,0.0,True,Gene,MTAP
9317,4515,gene,0.0,True,Gene,MTCP1
9318,4520,gene,0.0,True,Gene,MTF1
9319,4521,gene,0.0,True,Gene,NUDT1
9320,4522,gene,0.0,True,Gene,MTHFD1
9321,4524,gene,0.0,True,Gene,MTHFR
9322,4528,gene,0.0,True,Gene,MTIF2
9323,4534,gene,0.0,True,Gene,MTM1
9324,4542,gene,0.0,True,Gene,MYO1F
9325,4543,gene,0.0,True,Gene,MTNR1A
9326,4544,gene,0.0,True,Gene,MTNR1B
9327,4547,gene,0.0,True,Gene,MTTP
9328,4548,gene,0.0,True,Gene,MTR
9329,4552,gene,0.0,True,Gene,MTRR
9330,4580,gene,0.0,True,Gene,MTX1
9331,4582,gene,0.0,True,Gene,MUC1
9332,4583,gene,0.0,True,Gene,MUC2
9333,4584,gene,0.0,True,Gene,MUC3A
9334,4585,gene,0.0,True,Gene,MUC4
9335,4586,gene,0.0,True,Gene,MUC5AC
9336,4588,gene,0.0,True,Gene,MUC6
9337,4591,gene,0.0,True,Gene,TRIM37
9338,4593,gene,0.0,True,Gene,MUSK
9339,4594,gene,0.0,True,Gene,MMUT
9340,4595,gene,0.0,True,Gene,MUTYH
9341,4597,gene,0.0,True,Gene,MVD
9342,4598,gene,0.0,True,Gene,MVK
9343,4599,gene,0.0,True,Gene,MX1
9344,460,gene,0.0,True,Gene,ASTN1
9345,4600,gene,0.0,True,Gene,MX2
9346,4601,gene,0.0,True,Gene,MXI1
9347,4602,gene,0.0,True,Gene,MYB
9348,4603,gene,0.0,True,Gene,MYBL1
9349,4604,gene,0.0,True,Gene,MYBPC1
9350,4605,gene,0.0,True,Gene,MYBL2
9351,4606,gene,0.0,True,Gene,MYBPC2
9352,4607,gene,0.0,True,Gene,MYBPC3
9353,4608,gene,0.0,True,Gene,MYBPH
9354,4609,gene,0.0,True,Gene,MYC
9355,4610,gene,0.0,True,Gene,MYCL
9356,4613,gene,0.0,True,Gene,MYCN
9357,4615,gene,0.0,True,Gene,MYD88
9358,4616,gene,0.0,True,Gene,GADD45B
9359,4617,gene,0.0,True,Gene,MYF5
9360,4618,gene,0.0,True,Gene,MYF6
9361,4619,gene,0.0,True,Gene,MYH1
9362,462,gene,0.0,True,Gene,SERPINC1
9363,4620,gene,0.0,True,Gene,MYH2
9364,4621,gene,0.0,True,Gene,MYH3
9365,4622,gene,0.0,True,Gene,MYH4
9366,4624,gene,0.0,True,Gene,MYH6
9367,4625,gene,0.0,True,Gene,MYH7
9368,4626,gene,0.0,True,Gene,MYH8
9369,4627,gene,0.0,True,Gene,MYH9
9370,4628,gene,0.0,True,Gene,MYH10
9371,4629,gene,0.0,True,Gene,MYH11
9372,463,gene,0.0,True,Gene,ZFHX3
9373,4632,gene,0.0,True,Gene,MYL1
9374,4633,gene,0.0,True,Gene,MYL2
9375,4634,gene,0.0,True,Gene,MYL3
9376,4635,gene,0.0,True,Gene,MYL4
9377,4636,gene,0.0,True,Gene,MYL5
9378,4637,gene,0.0,True,Gene,MYL6
9379,4638,gene,0.0,True,Gene,MYLK
9380,4640,gene,0.0,True,Gene,MYO1A
